file	index	id	original	byte_len
DT0TEXT.DAT	0	001	You are within a winding cave passage shrouded in sulfurous mist.  The cave walls are damp with moisture and the echoing sounds of mysterious chanting swirl in and out with the mist.	182
DT0TEXT.DAT	1	002	Before you is an ancient looking man seated before a fire.  He looks up from his meditation to speak, 'Once you have reached Ralith there will be no turning back.  Only a teleport spell will return you to Ymros.  Choose a path wisely.'	235
DT1TEXT.DAT	0	101	A shambling mound has been placed at the end of the corridor to guard this door.	80
DT1TEXT.DAT	1	102	You see a horrifying monster made up of decaying vegetable and swamp matter.  It stands seven feet tall and its glowing yellow eyes tell a history of anger and wrath.	166
DT1TEXT.DAT	2	103	This is a guardpost.  Two guards with broadswords are stationed here.	69
DT1TEXT.DAT	3	104	A message written in blood on the wall reads - 'Secret door in passage between forest and pool'.	96
DT1TEXT.DAT	4	105	Holding cell where a shambling mound is being kept.  Bones and rotting vegetation are everywhere.	97
DT1TEXT.DAT	5	106	Holding cell where a shambling mound is being kept.  Bones and rotting vegetation are everywhere.	97
DT1TEXT.DAT	6	107	Before you is the lair of the swamp king.  He is a muscular man with a skull for a helmet and two shamblers as guards.	118
DT1TEXT.DAT	7	108	A pool of water that seems to radiate vitality beckons you...	61
DT2TEXT.DAT	0	201	You enter a damp and misty chamber with a skeleton staked to the far wall with daggers.  His head has been twisted in an unnatural fashion to face the door.  'Thus shall be the fate of those that betray Devir the Destoyer ...'	226
DT2TEXT.DAT	1	202	You find a small key lying in the corner of the room.	53
DT2TEXT.DAT	2	203	The door is locked.	19
DT2TEXT.DAT	3	204	'Thank the Gods you have come to rescue me!', cries a ragged old man wearing a holy symbol around his neck.  'Too bad he'll never get out alive!', says a hill giant with a toothless grin.	187
DT2TEXT.DAT	4	205	You have stumbled upon the chambers of a foul smelling ogre.  He charges towards you with a huge spiked mace and a deafening battle cry.  This just isn't your day.	163
DT2TEXT.DAT	5	206	This room is the home of an orc.  This orc is no normal orc- with huge muscles and a gleaming two handed sword, which he is wielding in your direction with skill and fierocity.	176
DT2TEXT.DAT	6	207	A map has been carved into the hard dirt floor of this holding cell.	68
DT2TEXT.DAT	7	208	This is the lair of Devir the destroyer- a friend of Siriadne's that siezed power of this stronghold from Galin the Good.  Galin's Royal Seal still hangs upon a lonely wall.  Devir's evil eyes stare at you from beneath a horned helm.	233
DT3TEXT.DAT	0	301	None can pass this point without the Royal Seal.	48
DT3TEXT.DAT	1	302	You only see a storeroom full of empty boxes, but you hear scratching noises...	79
DT3TEXT.DAT	2	303	Someone's sleeping quarters.	28
DT3TEXT.DAT	3	304	Corner of a small room.	23
DT3TEXT.DAT	4	305	Two men have killed each other here.  One has a battle axe in his skull and the other has a knife in his chest.	111
DT3TEXT.DAT	5	306	A demonic altar has been built here.	36
DT3TEXT.DAT	6	307	Beyond a door you hear someone singing, 'Blue is the sky; Blue is the sea.  Red is for blood; and Green is for trees'.	118
DT3TEXT.DAT	7	308	Two fighters are drinking here and eating cooked rabbit.	56
DT3TEXT.DAT	8	309	Before you is a large door made of carved ebony.  On either side of the door are cobras coiled and ready to attack.	115
DT3TEXT.DAT	9	310	The large oaken door is locked shut.	36
DT3TEXT.DAT	10	311	The door is locked.	19
DT3TEXT.DAT	11	312	A misty crypt.  A number of ancient tomb tones cover the moist earth.  A glint of silver catches your eye from the ground...	124
DT3TEXT.DAT	12	313	A wizard's laboratory.  The walls are scuffed with a multitude of burn marks and bottle and glass tubing are scattered about the room.  A blue liquid is bubbling in a beaker over a flame.	187
DT3TEXT.DAT	13	314	Empty room.	11
DT3TEXT.DAT	14	315	The dining room of the keep.  A few fighters were eating a foul smelling stew when you barged in.	97
DT3TEXT.DAT	15	316	This is the kitchen.  The cook is cutting up some old meat to throw in a pot when you entered.	94
DT3TEXT.DAT	16	317	A huge room that is the home of a giant.  Bones and rotting flesh are everywhere.	81
DT3TEXT.DAT	17	318	The door is kept closed by a golden lock.	41
DT3TEXT.DAT	18	319	A massive chamber elegantly furnished.  Sitting around a large marble table are three men who seem to be discussing something.  When you enter they grab their weapons and run to attack.	185
DT4TEXT.DAT	0	401	Before you is a large brass plate set into the stone floor.  The plate has unknown magical runes carved in it.  A voice from deep within the tower echos,                  'Welcome to the tower of the Gate Keeper'.	213
DT4TEXT.DAT	1	402	This room lies within the top of the tower and large windows in all directions give a dizzying view of all the land.  The Gate Keeper stands before you, 'One of these 4 gates will lead you to a distant island.  The others ???'	227
DT5TEXT.DAT	0	503	In the center of the pool lies a shining silver statue of a muscular warrior.  He holds his head erect and his sword to the sky.	128
DT5TEXT.DAT	1	504	The entry room.  A large dragon hisses, 'Welcome to the Tower of Ralith!'	73
DT5TEXT.DAT	2	505	The great hall.  A powerful looking fighter is here with a few friends.  You get the feeling you're not wanted.	111
DT5TEXT.DAT	3	511	This is a wizard's library.  A number of books are about words of command and you read one of interest on how they can be mentally blocked out.	143
DT5TEXT.DAT	4	512	You see a baby dragon curled up at the foot of a staircase leading up.  As you enter he lets out a puff of steam and moves menacingly towards you.	146
DT5TEXT.DAT	5	513	A few of Siriadne's lesser henchmen are dining on a meal of meat and ale.  They draw their weapons and advance.	111
DT5TEXT.DAT	6	514	A towering figure appears from around a corner, 'OH!, I hope you provide more sport than the last group....'	108
DT5TEXT.DAT	7	515	'My, my.  Care to play?', asks a hulking giant- as he charges the party.	72
DT5TEXT.DAT	8	516	The art gallery.  The paintings are quite beautiful and represent a history of wealth and prosperity.  Most of them depict tranquil landscape scenes - ironic considering the tower's current owner.	196
DT5TEXT.DAT	9	517	A demonic chapel has been built here.  The walls have been charred black.  Two gargoyles with glowing red eyes guard the altar.	127
DT5TEXT.DAT	10	518	A pool of water that eminates power is here.	44
