kind	town	original	orig_bytes	translation	trans_bytes	fits	note
town	Green Hamlet	Green Hamlet	12	翠綠村(Green Hamlet)	20	—	專有名詞附原文對照(硬規則 4)。
town	Precious Plains	Precious Plains	15	珍寶平原(Precious Plains)	25	—	專有名詞附原文對照(硬規則 4)。
town	Gleon	Gleon	5	格里昂(Gleon)	13	—	音譯 專有名詞附原文對照(硬規則 4)。
town	Arcania	Arcania	7	阿卡尼亞(Arcania)	17	—	音譯 專有名詞附原文對照(硬規則 4)。
town	Woodhaven	Woodhaven	9	林安鎮(Woodhaven)	17	—	專有名詞附原文對照(硬規則 4)。
town	Terynor	Terynor	7	特里諾(Terynor)	15	—	音譯 專有名詞附原文對照(硬規則 4)。
town	Myrquacid	Myrquacid	9	密夸希德(Myrquacid)	19	—	音譯,造詞地名 專有名詞附原文對照(硬規則 4)。
town	Athe	Athe	4	阿瑟(Athe)	10	—	音譯 專有名詞附原文對照(硬規則 4)。
town	Spider Bay	Spider Bay	10	蜘蛛灣(Spider Bay)	18	—	專有名詞附原文對照(硬規則 4)。
town	Janthrin	Janthrin	8	詹斯林(Janthrin)	16	—	音譯 專有名詞附原文對照(硬規則 4)。
town	Atlantis	Atlantis	8	亞特蘭提斯(Atlantis)	20	—	通行譯名 專有名詞附原文對照(硬規則 4)。
town	Oceana	Oceana	6	歐西安娜(Oceana)	16	—	音譯 專有名詞附原文對照(硬規則 4)。
town	Triton	Triton	6	崔頓(Triton)	12	—	通行譯名 專有名詞附原文對照(硬規則 4)。
shop	Green Hamlet	The Iron Blade	14	鐵刃劍舖(The Iron Blade)	24	—	專有名詞附原文對照(硬規則 4)。
shop	Green Hamlet	Rolo's Resthouse	16	羅洛旅店(Rolo's Resthouse)	26	—	人名音譯 專有名詞附原文對照(硬規則 4)。
shop	Green Hamlet	Hamlet Hospital	15	村莊醫館(Hamlet Hospital)	25	—	專有名詞附原文對照(硬規則 4)。
shop	Green Hamlet	Kor's Smithy	12	柯爾鐵匠鋪(Kor's Smithy)	24	—	人名音譯 專有名詞附原文對照(硬規則 4)。
shop	Green Hamlet	Winsome Weapons	15	精選兵器(Winsome Weapons)	25	—	Winsome(迷人)意譯為精選,保留頭韻感不易兼顧 專有名詞附原文對照(硬規則 4)。
shop	Green Hamlet	The Purple Rat	14	紫鼠酒館(The Purple Rat)	24	—	俏皮酒館名,直譯保留調性 專有名詞附原文對照(硬規則 4)。
shop	Green Hamlet	General Goods	13	雜貨店(General Goods)	21	—	專有名詞附原文對照(硬規則 4)。
shop	Precious Plains	Lucky Blades	12	幸運劍舖(Lucky Blades)	22	—	專有名詞附原文對照(硬規則 4)。
shop	Precious Plains	The Haystack	12	乾草堆(The Haystack)	20	—	專有名詞附原文對照(硬規則 4)。
shop	Precious Plains	The Grainery	12	穀倉(The Grainery)	18	—	專有名詞附原文對照(硬規則 4)。
shop	Precious Plains	The Tinder Box	14	火絨盒(The Tinder Box)	22	—	專有名詞附原文對照(硬規則 4)。
shop	Gleon	BladeMaster	11	劍術大師(BladeMaster)	21	—	專有名詞附原文對照(硬規則 4)。
shop	Gleon	Flashing Steel	14	寒光鋼刃(Flashing Steel)	24	—	專有名詞附原文對照(硬規則 4)。
shop	Gleon	Hero's Pub	10	戰士酒館(Hero's Pub)	20	—	Hero/Warrior/Fighter 同一職業,精訊譯「戰士」(硬規則 1) 專有名詞附原文對照(硬規則 4)。
shop	Gleon	Corbin's	8	柯賓商店(Corbin's)	18	—	人名音譯,原文未指明業種,補'商店' 專有名詞附原文對照(硬規則 4)。
shop	Gleon	Mithril Light	13	秘銀之光(Mithril Light)	23	—	專有名詞附原文對照(硬規則 4)。
shop	Arcania	Potion Shoppe	13	藥劑坊(Potion Shoppe)	21	—	專有名詞附原文對照(硬規則 4)。
shop	Arcania	Zor's Healing	13	佐爾醫館(Zor's Healing)	23	—	人名音譯 專有名詞附原文對照(硬規則 4)。
