row	addr	original	orig_bytes	translation	trans_bytes	fits	note	wired
5	ds:92DC	Hands	5	拳頭	4	Y		engine/internal/combat/field.go
6	ds:92E6	Fangs	5	獠牙	4	Y	原版另有 `Fangs`/`Bite` 兩個沒有武器時的名字,但**選用的判斷式沒讀到** —— 引擎一律用 CMBT:5/7 的「拳頭」,不自己編一條規則(engine/internal/combat/field.go 的 msgBareHands)。	
7	ds:92F0	Hands	5	拳頭	4	Y		engine/internal/combat/field.go
9	ds:9338	None	4	無	2	Y		engine/inspect_scene.go
10	ds:9340	Bite	4	咬擊	4	Y	原版另有 `Fangs`/`Bite` 兩個沒有武器時的名字,但**選用的判斷式沒讀到** —— 引擎一律用 CMBT:5/7 的「拳頭」,不自己編一條規則(engine/internal/combat/field.go 的 msgBareHands)。	
22	ds:94DE	Item Breaks !	13	道具損壞了!	11	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。道具損壞:魔法道具發動失敗時原版有機率弄壞它。	
23	ds:9500	MONSTERS ALL DEAD	17	怪物全滅	8	Y		engine/internal/combat/field.go
24	ds:951A	PARTY DIES!	11	隊伍全滅!	9	Y		engine/internal/combat/field.go
26	ds:953A	DEAD	4	死亡	4	Y		engine/internal/original/chars.go
29	ds:955A	PARTY RAN!	10	隊伍逃跑了!	11	11		engine/internal/combat/field.go
31	ds:9576	KEYPAD TEMPLATE	15	數字鍵盤對照表	14	Y	與 docs/spec/15 §8 A6 按鍵表候選內容,建議一併核對。	engine/shell_scene.go
41	ds:95D4	FACING 	7	朝向 	5	Y		engine/combat_scene.go
42	ds:95E0	MP=	3	行動點=	7	7		engine/combat_scene.go
52	ds:963A	Sound is now on.	16	音效已開啟。	12	Y		engine/sound.go
53	ds:9652	Sound is now off.	17	音效已關閉。	12	Y		engine/sound.go
56	ds:9688	Experience:	11	經驗：	6	Y		engine/exp.go
57	ds:9698	 (per character)	16	(每位角色)	10	Y		engine/exp.go
58	ds:96C2	Gold:	5	金幣：	6	Y		engine/exp.go
59	ds:96CC	Gold:	5	金幣：	6	Y		engine/exp.go
60	ds:96D8	 found 	7	 找到了 	8	8		engine/exp.go
61	ds:96F6	finds	5	找到了	6	6	`finds` 是「某人找到一件道具」那一句(與 60 的 ` found ` 不同上下文),引擎的迷宮/戰鬥都不掉道具 —— 見 docs/spec/19-coverage.md §2.3。	
62	ds:9700	Do you take it?	15	要撿嗎?	7	Y		engine/exp.go
63	ds:9714	(Y/N)	5	(Y/N)	5	Y		engine/exp.go
69	ds:9758	attacks 	8	攻擊 	5	Y		engine/internal/combat/field.go
70	ds:9764	with	4	使用	4	Y		engine/internal/combat/field.go
71	ds:976E	and missed!	11	但沒打中!	9	Y		engine/internal/combat/field.go
72	ds:978E	for no damage.	14	沒有造成傷害。	14	Y		engine/internal/combat/field.go
74	ds:97AA	and hacks for 	14	劈砍造成 	9	Y		engine/internal/combat/field.go
76	ds:97C6	and hits for 	13	命中造成 	9	Y		engine/internal/combat/field.go
77	ds:97D8	 damage.	8	 點傷害。	9	9		engine/internal/combat/field.go
79	ds:97F0	and is poisoned!	16	並中毒了!	9	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。攻擊附帶中毒:引擎的 Attack() 只算傷害,不會讓目標中毒(狀態本身是有的)。	
81	ds:9810	 He Dies!	9	 他死了!	8	Y		engine/internal/combat/field.go
82	ds:981E	 It dies!	9	 牠死了!	8	Y		engine/internal/combat/field.go
83	ds:9832	All Monsters Dead	17	怪物全滅	8	Y		engine/internal/combat/field.go
84	ds:9868	is not a	8	不是	4	Y		engine/cast_scene.go
85	ds:9874	wizard	6	巫師	4	Y		engine/cast_scene.go
86	ds:987E	and cannot	10	無法	4	Y		engine/cast_scene.go
87	ds:988C	cast spells.	12	施放法術。	10	Y		engine/cast_scene.go
88	ds:989E	Which spell do	14	要施放	6	Y		engine/cast_scene.go
89	ds:98B0	you wish to cast?	17	哪個法術?	9	Y		engine/cast_scene.go
90	ds:98C6	 (ENTER exits)	14	(ENTER離開)	11	Y		engine/cast_scene.go
91	ds:98DE	 There is no     	17	沒有這個 	9	Y	引擎的版面與原版不同,這一段結構上對不起來(見 docs/spec/19 §6.1 的第二種成因)。引擎用字母選單,選不到不存在的法術。	
92	ds:98F4	 such spell!     	17	法術!	5	Y	引擎的版面與原版不同,這一段結構上對不起來(見 docs/spec/19 §6.1 的第二種成因)。同 91 列。	
93	ds:990C	 That is not a   	17	那不是	6	Y		engine/cast_scene.go
94	ds:9922	 combat spell!   	17	戰鬥法術!	9	Y		engine/cast_scene.go
95	ds:993A	 You don't know  	17	你不會	6	Y		engine/cast_scene.go
96	ds:9950	 that spell!     	17	那個法術!	9	Y		engine/cast_scene.go
97	ds:9968	You will not be  	17	你將	4	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。法術「要到下一回合才準備好」——這條規則沒讀過。	
98	ds:997E	prepared for that	17	還沒準備好	10	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。同 97 列。	
99	ds:9994	spell until the  	17	那個法術,要到	13	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。同 97 列。	
100	ds:99AA	next round.	11	下一回合才行。	14	14	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。同 97 列。	
101	ds:99BC	 # SP ? 	8	 花費幾點法力? 	15	15		engine/cast_scene.go
102	ds:99C8	 You don't have	15	你沒有	6	Y		engine/cast_scene.go
103	ds:99DC	 that many!	11	 那麼多!	8	Y		engine/cast_scene.go
104	ds:99EE	That spell	10	那個法術	8	Y		engine/cast_scene.go
105	ds:99FC	requires at least	17	至少需要	8	Y		engine/cast_scene.go
106	ds:9A12	 S.P.	5	 點法力。	9	9		engine/cast_scene.go
108	ds:9A2E	NO TARGET	9	沒有選定	8	Y		engine/cast_scene.go
109	ds:9A3C	SELECTED!	9	目標!	5	Y		engine/cast_scene.go
110	ds:9A4E	Use arrow keys to	17	用方向鍵	8	Y		engine/cast_scene.go;engine/combat_scene.go
111	ds:9A64	position cursor.	16	移動游標。	10	Y		engine/cast_scene.go;engine/combat_scene.go
113	ds:9A82	Hit PgDn key	12	按 PgDn 鍵	10	Y		engine/cast_scene.go
114	ds:9A92	(ESC to Exit)	13	(ESC離開)	9	Y		engine/cast_scene.go
115	ds:9AA4	Who do you want	15	你想對誰	8	Y		engine/use_item.go
116	ds:9AB8	to use it on?	13	使用?	5	Y		engine/use_item.go
117	ds:9ACA	to use.	7	使用。	6	Y		engine/cast_scene.go;engine/use_item.go
118	ds:9AD6	Where do you want	17	你想施放到	10	Y		engine/cast_scene.go
119	ds:9AEC	to cast it?	11	哪裡?	5	Y		engine/cast_scene.go
120	ds:9AFC	to cast.	8	施放。	6	Y		engine/cast_scene.go
122	ds:9B38	and Dies!	9	並死亡!	7	Y		engine/internal/magic/magic.go
124	ds:9B56	NO ONE IN	9	目標區域內	10	10	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。`NO ONE IN TARGET AREA` 是**範圍法術**的空範圍訊息,而法術的作用範圍未解(docs/spec/09 §3)。單體的空格子走 CMBT:108/109。	
125	ds:9B64	TARGET AREA	11	沒有人!	7	Y	⛔ 引擎沒有這個功能,而且**規則沒讀出來** —— 照 CLAUDE.md §2 的閘門,補之前要先回 RE(缺口列在 docs/spec/19-coverage.md §2)。同 124 列。	
126	ds:9B8C	and Dies	8	並死亡	6	Y		engine/internal/magic/magic.go
128	ds:9BAC	notices no	10	沒有感到	8	Y		engine/internal/magic/magic.go
129	ds:9BBA	difference.	11	任何變化。	10	Y		engine/internal/magic/magic.go
130	ds:9BD0	Breaks free!	12	掙脫了!	7	Y		engine/internal/magic/magic.go
132	ds:9BE8	notices no	10	沒有感到	8	Y		engine/internal/magic/magic.go
133	ds:9BF6	difference.	11	任何變化。	10	Y		engine/internal/magic/magic.go
134	ds:9C0C	is not bound in	15	沒有被	6	Y		engine/internal/magic/magic.go
135	ds:9C20	chains and	10	鐵鍊束縛,	9	Y		engine/internal/magic/magic.go
136	ds:9C2E	still air and	13	凝滯的空氣,	11	Y		engine/internal/magic/magic.go
137	ds:9C40	ice and	7	冰霜,	5	Y		engine/internal/magic/magic.go
138	ds:9C4C	notices no effect	17	沒有感到效果	12	Y		engine/internal/magic/magic.go
140	ds:9C6E	Item Fails	10	道具失效	8	Y	原版同一句有兩份(另一份措辭/標點不同),引擎只有一份實作 —— 已接到另一份那一列。`Item Fails` 與 `Spell Fails`(141)的分工沒讀到,引擎只有一次發動判定 —— 接到 141 那一句。	
141	ds:9C7C	Spell Fails	11	法術失效	8	Y		engine/use_item.go
142	ds:9C92	does not have	13	沒有	4	Y		engine/internal/combat/dispell.go
143	ds:9CA4	the Priesthood	14	降魔術	6	Y		engine/internal/combat/dispell.go
144	ds:9CB6	and cannot	10	無法	4	Y		engine/internal/combat/dispell.go
145	ds:9CC4	dispell.	8	驅散。	6	Y		engine/internal/combat/dispell.go
146	ds:9CD2	has already	11	這回合已經	10	Y		engine/internal/combat/dispell.go
147	ds:9CE2	dispelled	9	驅散過	6	Y		engine/internal/combat/dispell.go
148	ds:9CF0	this combat.	12	了。	4	Y		engine/internal/combat/dispell.go
149	ds:9D02	is not a	8	不是	4	Y		engine/internal/combat/dispell.go
150	ds:9D0E	wizard	6	巫師	4	Y		engine/internal/combat/dispell.go
151	ds:9D18	and cannot	10	無法	4	Y		engine/internal/combat/dispell.go
152	ds:9D26	dispell.	8	驅散。	6	Y		engine/internal/combat/dispell.go
153	ds:9D36	None of these	13	這些	4	Y		engine/internal/combat/dispell.go
154	ds:9D48	monsters are	12	怪物都不是	10	Y		engine/internal/combat/dispell.go
155	ds:9D58	undead!	7	不死生物!	9	9		engine/internal/combat/dispell.go
156	ds:9D68	Attempting	10	正試圖	6	Y		engine/internal/combat/dispell.go
157	ds:9D76	dispell	7	驅散	4	Y		engine/internal/combat/dispell.go
158	ds:9D84	Ignores priest.	15	無視祭司。	10	Y		engine/internal/combat/dispell.go
159	ds:9DA0	dies.	5	死去。	6	6		engine/internal/combat/dispell.go
162	ds:9DF0	This character has no items to use!	35	這位角色沒有可用的道具!	23	Y		engine/use_item.go
163	ds:9E20	Use:  (ESC exits)	17	使用：(ESC離開)	15	Y		engine/use_item.go
164	ds:9E38	Not a valid magical item!	25	不是有效的魔法道具!	19	Y		engine/use_item.go
165	ds:9E60	Do you wish to use the potion on Y)ourself or T)oss it to another character?       	83	你要把藥劑用在 Y)自己身上,還是 T)丟給另一位角色?	48	Y	spec/19 §1.1 範例句(CMBT 版:T)oss;CAMP #92 是同一句的 G)ive 版)	engine/use_item.go
167	ds:9ECE	 (ESC cancels)	14	(ESC取消)	9	Y		engine/use_item.go
168	ds:9EE8	Toss it to which	16	要丟給哪位	10	Y		engine/use_item.go
